,city,lat,lon,temperature,weather_code,sunrise,sunset,moonrise,moonset,co,no2,o3,so2,pm2_5,pm10,wind_speed,wind_degree,wind_dir,pressure,precip,humidity,cloudcover,feelslike,visibility
0,New Delhi,28.6,77.2,21,143,07:05:00,17:26:00,01:04:00,13:06:00,1411.85,23.95,264,76.65,137.25,140.05,4,34,NE,1017,0.0,53,50,21,1
1,Mumbai,18.975,72.826,30,122,07:03:00,18:03:00,01:20:00,13:29:00,644.85,25.55,209,31.15,46.65,47.05,18,300,WNW,1011,0.0,35,0,32,4
2,Kolkata,22.57,88.37,21,143,06:07:00,16:54:00,00:16:00,12:23:00,457.85,1.95,214,12.95,44.55,47.25,8,3,N,1014,0.0,73,0,21,3
3,Chennai,13.083,80.283,26,143,06:22:00,17:44:00,00:48:00,13:00:00,275.85,2.05,135,7.55,28.75,35.15,19,31,NNE,1012,0.0,65,25,28,5
4,Bengaluru,12.983,77.583,24,113,06:32:00,17:55:00,00:59:00,13:11:00,243.85,3.85,152,10.75,20.95,26.35,9,76,ENE,1015,0.0,25,0,24,10
5,Hyderabad,17.375,78.474,26,143,06:37:00,17:44:00,00:56:00,13:06:00,291.85,0.85,174,11.65,28.85,31.45,10,81,E,1016,0.0,32,0,26,4
6,Ahmedabad,23.033,72.617,26,122,07:12:00,17:56:00,01:22:00,13:28:00,385.85,5.15,137,19.85,26.95,27.25,8,50,NE,1013,0.0,32,0,25,5
7,Pune,18.533,73.867,25,113,06:58:00,18:00:00,01:16:00,13:24:00,248.85,2.05,160,10.15,15.85,16.35,8,68,ENE,1013,0.0,26,0,24,10
8,Jaipur,26.917,75.817,23,143,07:07:00,17:35:00,01:09:00,13:13:00,400.85,2.65,163,13.25,18.45,18.45,6,173,S,1017,0.0,41,0,23,5
9,Chandigarh,30.737,76.787,17,122,07:12:00,17:23:00,01:06:00,13:07:00,713.85,4.55,213,36.65,61.65,62.75,4,33,NNE,1016,0.0,36,97,17,10
10,Lucknow,26.85,80.917,19,143,06:46:00,17:15:00,00:48:00,12:52:00,786.85,2.35,203,29.85,98.65,102.35,4,281,WNW,1016,0.0,68,0,19,3
11,Kanpur,26.467,80.35,19,143,06:48:00,17:18:00,00:50:00,12:54:00,829.85,2.45,204,37.45,119.55,122.85,4,333,NNW,1016,0.0,68,0,19,3
12,Nagpur,21.15,79.1,24,143,06:42:00,17:34:00,00:54:00,13:02:00,239.85,13.35,114,44.55,15.55,15.65,4,130,SE,1015,0.0,36,0,24,5
